VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,2019-04-09 10:49:56,2019-04-09 10:52:27,N,1,75,75,1,.27,3.5,0,0.5,0,0,,0.3,4.3,2,1,0
2,2019-04-29 21:07:12,2019-04-29 21:10:56,N,1,82,82,3,.80,5,0.5,0.5,0,0,,0.3,6.3,2,1,0
2,2019-04-07 03:16:25,2019-04-07 03:34:43,N,1,36,61,1,4.24,16.5,0.5,0.5,1.5,0,,0.3,19.3,1,1,0
2,2019-04-11 12:04:59,2019-04-11 12:09:02,N,1,166,24,1,1.11,5.5,0,0.5,0,0,,0.3,6.3,1,1,0
2,2019-04-16 10:30:37,2019-04-16 10:53:51,N,1,74,142,1,4.01,17,0,0.5,5.14,0,,0.3,25.69,1,1,2.75
2,2019-04-26 08:54:12,2019-04-26 08:57:07,N,1,244,244,1,.43,4,0,0.5,0,0,,0.3,4.8,1,1,0
2,2019-04-02 16:15:13,2019-04-02 16:24:17,N,1,25,181,1,.94,7,1,0.5,0,0,,0.3,8.8,2,1,0
2,2019-04-05 14:17:18,2019-04-05 14:41:40,N,1,181,72,1,4.01,18,0,0.5,0,0,,0.3,18.8,2,1,0
2,2019-04-23 18:04:23,2019-04-23 18:08:55,N,1,75,74,6,1.22,6,1,0.5,1.95,0,,0.3,9.75,1,1,0
2,2019-04-01 17:53:13,2019-04-01 17:58:59,N,1,166,41,1,.97,6,1,0.5,1,0,,0.3,8.8,1,1,0
2,2019-04-03 18:23:24,2019-04-03 18:29:22,N,1,212,182,1,.82,6,1,0.5,0,0,,0.3,7.8,1,1,0
2,2019-04-27 18:25:47,2019-04-27 18:35:39,N,1,41,74,1,1.34,8,0,0.5,2.2,0,,0.3,11,1,1,0
2,2019-04-03 15:10:45,2019-04-03 15:15:33,N,1,75,75,1,.76,5,0,0.5,0,0,,0.3,5.8,2,1,0
2,2019-04-05 14:03:37,2019-04-05 14:10:34,N,1,75,236,1,.67,6,0,0.5,0,0,,0.3,9.55,2,1,2.75
2,2019-04-16 10:06:48,2019-04-16 10:10:59,N,1,74,41,1,.81,5,0,0.5,0,0,,0.3,5.8,2,1,0
2,2019-04-11 18:32:04,2019-04-11 19:00:53,N,1,244,263,1,6.90,25,1,0.5,3,0,,0.3,32.55,1,1,2.75
2,2019-04-21 12:03:01,2019-04-21 12:03:19,N,1,7,7,5,.00,-2.5,0,-0.5,0,0,,-0.3,-3.3,3,1,0
1,2019-04-16 07:06:43,2019-04-16 08:01:47,N,1,85,55,1,10.50,44.5,0,0.5,0,0,,0.3,45.3,1,1,0
2,2019-04-29 11:23:34,2019-04-29 11:27:56,N,1,75,75,1,.42,4.5,0,0.5,1.06,0,,0.3,6.36,1,1,0
2,2019-04-05 18:42:53,2019-04-05 18:48:39,N,1,244,244,5,.66,5.5,1,0.5,0,0,,0.3,7.3,2,1,0
2,2019-04-23 09:42:35,2019-04-23 09:51:47,N,1,74,166,1,1.76,8.5,0,0.5,1.86,0,,0.3,11.16,1,1,0
2,2019-04-16 12:20:05,2019-04-16 12:48:23,N,1,89,35,1,4.67,20.5,0,0.5,0,0,,0.3,21.3,1,1,0
2,2019-04-11 17:21:27,2019-04-11 17:26:19,N,1,166,151,1,.76,5.5,1,0.5,1.46,0,,0.3,8.76,1,1,0
2,2019-04-25 07:23:34,2019-04-25 07:30:27,N,1,74,166,1,1.73,7.5,0,0.5,1.66,0,,0.3,9.96,1,1,0
2,2019-04-13 17:16:12,2019-04-13 17:25:01,N,1,97,256,1,3.03,11,0,0.5,2,0,,0.3,13.8,1,1,0
2,2019-04-03 22:45:06,2019-04-03 23:11:58,N,1,255,181,1,5.85,22,0.5,0.5,5.82,0,,0.3,29.12,1,1,0
2,2019-04-09 18:48:58,2019-04-09 19:03:49,N,1,75,116,1,2.97,12.5,1,0.5,2.86,0,,0.3,17.16,1,1,0
2,2019-04-17 10:05:07,2019-04-17 10:14:50,N,1,198,36,1,1.61,8.5,0,0.5,0,0,,0.3,9.3,1,1,0
2,2019-04-24 22:33:02,2019-04-24 22:38:00,N,1,33,65,1,.57,5,0.5,0.5,1.89,0,,0.3,8.19,1,1,0
