VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,2020-06-10 18:51:51,2020-06-10 18:57:02,1,1.65,1,N,229,107,2,7,1,0.5,0,0,0.3,11.3,2.5
2,2020-06-08 14:49:59,2020-06-08 14:57:49,1,1.66,1,N,239,163,2,8,0,0.5,0,0,0.3,11.3,2.5
1,2020-06-19 07:11:03,2020-06-19 07:12:56,1,.40,1,N,100,230,1,4,2.5,0.5,1,0,0.3,8.3,2.5
1,2020-06-09 14:58:25,2020-06-09 15:14:54,2,4.70,1,N,79,75,1,15.5,2.5,0.5,5.6,0,0.3,24.4,2.5
2,2020-06-25 13:24:04,2020-06-25 14:05:02,1,5.57,1,N,41,113,1,29.5,0,0.5,8.2,0,0.3,41,2.5
1,2020-06-24 15:36:01,2020-06-24 15:42:02,1,.80,1,N,237,237,2,6,2.5,0.5,0,0,0.3,9.3,2.5
2,2020-06-13 00:17:35,2020-06-13 00:36:49,1,5.99,1,N,141,198,2,19.5,0.5,0.5,0,0,0.3,23.3,2.5
1,2020-06-14 00:44:44,2020-06-14 00:54:24,1,4.20,1,N,107,75,1,12.5,3,0.5,3.25,0,0.3,19.55,2.5
1,2020-06-15 17:39:11,2020-06-15 17:45:32,1,.90,1,N,163,143,1,6.5,3.5,0.5,1.08,0,0.3,11.88,2.5
1,2020-06-29 18:46:05,2020-06-29 19:02:42,1,2.00,1,N,179,179,2,12,1,0.5,0,0,0.3,13.8,0
2,2020-06-10 17:30:20,2020-06-10 17:37:08,3,1.51,1,N,48,142,1,7,1,0.5,0.79,0,0.3,12.09,2.5
2,2020-06-18 22:16:42,2020-06-18 22:21:17,2,1.05,1,N,79,170,1,6,0.5,0.5,2.45,0,0.3,12.25,2.5
1,2020-06-01 22:07:55,2020-06-01 22:14:59,1,1.50,1,N,41,74,2,7.5,0.5,0.5,0,0,0.3,8.8,0
2,2020-06-12 17:34:20,2020-06-12 17:53:56,3,4.41,1,N,90,263,1,17,1,0.5,4.26,0,0.3,25.56,2.5
1,2020-06-23 14:15:06,2020-06-23 14:31:36,1,3.70,1,N,137,256,1,15,2.5,0.5,0.01,0,0.3,18.31,2.5
2,2020-06-18 21:39:30,2020-06-18 21:49:17,1,2.77,1,N,249,48,1,10.5,0.5,0.5,3,0,0.3,17.3,2.5
1,2020-06-22 12:33:15,2020-06-22 12:40:05,1,.80,1,N,263,141,1,6,2.5,0.5,1.85,0,0.3,11.15,2.5
2,2020-06-12 14:48:39,2020-06-12 15:10:41,2,6.67,1,N,170,145,2,22,0,0.5,0,6.12,0.3,31.42,2.5
1,2020-06-17 13:41:11,2020-06-17 13:53:40,1,2.10,1,N,229,234,1,10.5,2.5,0.5,3,0,0.3,16.8,2.5
2,2020-06-25 12:41:17,2020-06-25 12:49:58,1,1.83,1,N,170,237,1,8.5,0,0.5,2.95,0,0.3,14.75,2.5
2,2020-06-14 03:40:57,2020-06-14 03:43:14,1,1.11,1,N,230,186,1,5,0.5,0.5,1.76,0,0.3,10.56,2.5
2,2020-06-26 18:41:39,2020-06-26 18:47:24,1,1.73,1,N,229,137,1,7,1,0.5,1.7,0,0.3,13,2.5
2,2020-06-23 19:07:00,2020-06-23 19:15:01,1,1.52,1,N,79,170,1,8,1,0.5,3.08,0,0.3,15.38,2.5
2,2020-06-07 18:27:41,2020-06-07 18:34:40,1,1.37,1,N,68,137,1,7,0,0.5,2.58,0,0.3,12.88,2.5
1,2020-06-08 13:26:34,2020-06-08 13:38:51,1,3.20,1,N,238,116,1,12,2.5,0.5,1,0,0.3,16.3,2.5
2,2020-06-18 14:37:25,2020-06-18 14:49:53,1,2.59,1,N,237,107,1,11,0,0.5,2.86,0,0.3,17.16,2.5
2,2020-06-27 13:01:40,2020-06-27 13:05:43,1,1.60,1,N,263,74,1,6.5,0,0.5,1,0,0.3,10.8,2.5
1,2020-06-14 14:47:35,2020-06-14 14:51:05,3,1.00,1,N,75,74,2,5,0,0.5,0,0,0.3,5.8,0
1,2020-06-15 17:11:31,2020-06-15 17:26:25,1,.00,1,N,74,151,1,14.2,0,0.5,0,0,0.3,15,0
1,2020-06-09 18:49:01,2020-06-09 19:15:33,1,.00,1,N,226,76,1,22.2,0,0.5,0,0,0.3,23,0
2,2020-06-11 12:32:39,2020-06-11 12:36:13,1,.79,1,N,161,233,2,4.5,0,0.5,0,0,0.3,7.8,2.5
